ISBN,book_title,genre
0062503227,"Awareness Through Movement: Easy-to-Do Health Exercises to Improve Your Posture, Vision, Imagination, and Personal Awareness",Personality Development|Feldenkrais method|Exercise
1578062322,Blues Traveling: The Holy Sites of Delta Blues,Blues (Music)--History and criticism|Blues musicians--Homes and haunts|Blues musicians--Homes and haunts--Guidebooks|Musical landmarks|Musical landmarks--Mississippi--Guidebooks|Musical landmarks--Tennessee--Memphis--Guidebooks|Musical landmarks--Arkansas--Helena--Guidebooks
096382810X,The Book of Love Laughter &amp; Romance,Marriage|Sex - Guides & Manuals - Heterosexual|Sex - Psychological Aspects|Love & Romance|Marriage - General & Miscellaneous
2020320428,Vivons heureux en attendant la mort,Literary Collections
0670812404,"Funny Sauce: Us, the Ex, the Ex's New Mate, the New Mate's Ex, and the Kids",Families--Anecdotes
9728288115,"Timor timorense: Com suas lÃ­nguas, literaturas, lusofonia --",Portuguese literature|Portuguese literature--Timor-Leste|Civilization|Literatures
0375422188,The Full Cupboard of Life: More from the No. 1 Ladies' Detective Agency,Poetry|General
080480284X,Japanese Children's Favorite Stories,Children's Fiction|General
0307681483,The Friendly Beasts,"Carols, English|Christmas Music|Folk Songs, English"
0590483234,"A Time to Love (Last Summer, First Love, Book 1)",Romance Fiction
0525480927,Beauty's Punishment,Sexual dominance and submission|Sexual dominance and submission--Fiction|Bondage (Sexual behavior)|Bondage (Sexual behavior)--Fiction
0671727184,The Life of King Henry the Fifth,Drama|Shakespeare
067158037X,Angela's Ashes (AUDIO CASSETTE),Children's Non-Fiction|Biography & Autobiography
014024669X,Of Love and Other Demons,Fiction|Literary
0805016228,The Marvelous Blue Mouse,Juvenile Fiction|Fiction|Greed|Mice
1573452882,"Saints Well Seasoned: Musings on How Food Nourishes Us-- Body, Heart, and Soul","Christian Life|Mormon Authors|Food|Religious Aspects|Mormon Church|Cooking, American"
080506995X,"Global Woman: Nannies, Maids, and Sex Workers in the New Economy",Social Sciences|General
037311625X,"Mistaken Adversary (Harlequin Presents, No 11625)",Literary Collections
086272807X,Stories for Six Year Olds (Treasuries),Literary Collections|English|Irish|Scottish|Welsh
0855617381,Those tracks on my face,"Holborow, Barbara|Women judges|Women judges--Australia--New South Wales--Biography|Juvenile justice, Administration of--History|Juvenile justice, Administration of--Australia--New South Wales--History"
044100508X,"The Pearls of Lutra (Redwall, Book 9)",Fantasy Fiction|Fiction - Fantasy & Magic|Fiction - Animals - Mammals|Teen Fiction - Fantasy
087983966X,"Eat Fat, Lose Weight",Health &amp; Fitness|Food Content Guides
089886464X,Gps Made Easy: Using Global Positioning Systems in the Outdoors,Nature|Environmental Conservation & Protection
0807072125,All Souls: A Family Story from Southie,"Childhood and youthMacDonald, Michael Patrick|McDonald family|Irish Americans|Irish Americans--Massachusetts--Boston--Biography|Irish American families|Irish American families--Massachusetts--Boston--Biography|Social life and customs|Social conditions"
0156027798,Big If,Fiction|Humorous
0688417922,The Magic Pot,Fairy Tales
0899062857,The Gordian Knot: A Novel,Jews|Jews--Fiction
1585670391,When I Was Five I Killed Myself,Boys|Boys--Fiction
346202261X,American Psycho (German),Horror|Crime Fiction|Books at the Movies
0805006222,Death Claims,Fiction|Gay & Lesbian
0671888722,REVELATION,"Criticism, interpretation, etc"
1565121783,Balls: A Novel,Husband and wife|Husband and wife--Fiction|Football coaches|Football coaches--Alabama--Fiction|Coaches' spouses|Coaches' spouses--Fiction|Football coaches--Fiction|Marriage--Fiction
042516540X,The Cat Who... Companion,Mystery & Detective Fiction - Reference
067945232X,Action! : A Novel,Fiction|Historical
0441832849,Groa's Other Eye (Twilight of the Gods Book II),Comics &amp; Graphic Novels|Graphic Novels
0374281866,My Garden Book,Gardens|Gardening|Gardeners
031295963X,"Winters Coming, Winters Gone: There Were Other Tragedies, Besides Dying in Vietnam",Fiction|General
0380613255,The Fate of the Earth,Nuclear warfare
270713824X,L'Entreprise,Literary Collections
0373760159,"Don'T Fence Me In (Man Of The Month) (Silhouette Desire, No 1015)",Ranchers|Ranchers--Fiction|Ranch managers|Ranch managers--Fiction|Actors|Actors--Fiction|Single mothers|Single mothers--Fiction
0688169082,At the Entrance to the Garden of Eden: A Jew's Search for God with Christians and Muslims in the Holy Land,Jews|Jews--Middle East|Christians|Christians--Middle East|Muslims|Muslims--Middle East|Spiritual life--Judaism|Children of Holocaust survivors|Children of Holocaust survivors--United States--Biography|Ethnic relations|Description and travel
0520202775,Dance of the Tiger: A Novel of the Ice Age,Prehistoric Peoples|Fiction|Neanderthals|Cro-magnons|Glacial Epoch
1568820127,Mysteries of the Worm (Cthulhu Cycle Books),Fiction|Action & Adventure
0879979968,Quest for the White Witch,Comics &amp; Graphic Novels|Graphic Novels
0892964693,Don't Ask (Dortmunder Novels (Hardcover)),Fiction|Action & Adventure
2718605359,"Propagandes silencieuses, Masses, tÃ?Â©lÃ?Â©vision, cinÃ?Â©ma",Motion pictures--Social aspects|Television broadcasting--Social aspects|Advertising--Social aspects
0553576259,Death in a Cold Hard Light,Women Detectives - Fiction|Police Stories
0451111265,The Death of a Legend (Horseclans #8),Fiction|Science Fiction
0380811995,Rules of Attraction (Governess Brides),Governesses|Governesses--Fiction|Manners and customs|Social life and customs|[Fic]
0679721835,Crossing Open Ground,Essays--Collections|Essays
084993723X,The Oath,Children's Fiction|General
3150080126,Deutsche Gedichte,German poetry
158660998X,Land of Promise,Romantic Fiction Themes|Other Romance Categories|Christian Fiction & Literature
0060188901,Enough Rope,Fiction|Mystery & Detective
0849935865,How To Be A Friend To Yourself (Quick-Me-Ups),Conduct Of Life
0060198834,Emily Post's Wedding Etiquette: Cherished Traditions and Contemporary Ideas for a Joyous Celebration (4th Edition),Wedding Etiquette
0060667060,Genesis As It Is Written: Contemporary Writers on Our First Stories,"Criticism, Interpretation, Etc|Bible As Literature"
0385504489,Stranger Than Fiction : True Stories,Curiosities and wonders|American essays
0413722309,The If... Files,"English wit and humor, Pictorial|Politics and government"
0571153607,The Faber Book of Contemporary Latin American Short Stories,"Short Stories, Latin American|Translations Into English|Latin American Fiction|Social Life And Customs|Fiction"
0393051870,Nothing That Meets the Eye: The Uncollected Stories of Patricia Highsmith,"Detective and mystery stories, American|Psychological fiction, American"
842332320X,"ManÃ­as, amores y otros oficios (ColecciÃ³n Ancora y delfÃ­n)",Literary Collections
1555835996,It's Not Mean If It's True,Homosexuality|Homosexuality--Humor|Gay men|Gay men--Humor|Gay wit and humor
0553090437,"The Boy Who Cried \Wolf!\"" (Bank Street Ready-to-Read Books, Lelvel 1)""",Rebuses|Fables|Folklore
156833186X,The Bodhran Makers,Literary Collections
0736401245,Cinderella: A Read-Aloud Storybook (Read-Aloud Storybook),Fairy Tales|Folklore
084395311X,Rage,Fiction|Horror
158542093X,Beauty in the Beasts: True Stories of Animals Who Choose to Do Good,Nature|Animals
0060526793,Perfect Princess: A Princess Diaries Book (Princess Diaries),Princesses|Self-actualization (psychology)|Diaries
0618197281,Fred &amp; Edie: A Novel,Literary Collections
0002245663,Forms of Devotion: Stories and Pictures,"Short stories, American"
0393018709,The Cold and the Dark: The World After Nuclear War,Nuclear Warfare|Nuclear warfare--Environmental aspects|Nuclear warfare--Environmental aspects--Congresses
157673918X,Stories for a Teacher's Heart (Stories For the Heart),Literary Criticism
0920576443,Th Ice Cream Bucket Effect,Biographies &amp; Autobiographies|General
031220325X,The Samurai's Wife,Fiction|Historical
0525237704,World According to Garp: A Novel,Eccentrics and eccentricities|Eccentrics and eccentricities--Fiction|Women|Women--United States--Fiction|Mothers and sons|Mothers and sons--Fiction|Feminists|Feminists--Fiction|Authors|Authors--Fiction
067983883X,Aztec Inca &amp; Maya (Eyewitness Books (Knopf)),Ancient History|Children - Social Studies
0060969725,"Jane &amp; Michael Stern's Encyclopedia of Pop Culture: An A to Z Guide of Who's Who and What's What, from Aerobics and Bubble Gum to Valley of the Doll",Reference|Encyclopedias
0397012160,St. Simons memoir: The personal story of finding the island and writing the St. Simons trilogy of novels,"Price, Eugenia|Novelists, American"
1883061059,No Witnesses,Gay & Lesbian Fiction|Multicultural Detectives - Fiction|Women Detectives - Fiction
0253359406,Memory and American History,Oral history|Memory|History--Methodology
0002160595,C. S. Lewis: A biography,"Authors, English|Christian Biography"
0060933534,Plainclothes Naked,Fiction|Mystery & Detective
0553506501,Bound Feet and Western Dress,Literary Collections|English|Irish|Scottish|Welsh
0395562694,"Selected Letters of Bertrand Russell: The Private Years, 1884-1914 (Selected Letters of Bertrand Russell)",Correspondence|Philosophers
0345425804,The Joy of Cybersex: A Guide for Creative Lovers,Computer sex|Sex|Web sites|Online chat groups
0553803085,"Mallets Aforethought : A Home Repair is Homicide Mystery (Graves, Sarah. Home Repair Is Homicide Mystery.)","Tiptree, Jacobia (Fictitious character)|Tiptree, Jacobia (Fictitious character)--Fiction|Historic buildings--Conservation and restoration|Historic buildings--Conservation and restoration--Fiction|Women detectives|Women detectives--Maine--Eastport--Fiction|White, Ellie (Fictitious character)|White, Ellie (Fictitious character)--Fiction|Inheritance and succession|Inheritance and succession--Fiction|Female friendship|Female friendship--Fiction"
1573222127,Miracle at St. Anna,African American Soldiers|Americans|Soldiers
0060093153,"So Little Time #11: Boy Crazy (So Little Time, 11)",Dating (social Customs)
0394557948,"Corpse Had a Familiar Face: Covering Miami, America's Hottest Beat","Buchanan, Edna|Journalists|Journalists--Florida--Miami--Biography|Crime and the press|Crime and the press--Florida--Miami|Crime|Crime--Florida--Miami|Police|Police--Florida--Miami"
0553372882,Spic-O-Rama: A Dysfunctional Comedy,Hispanic Americans--Drama
1894063007,The Black Chalice,Witches|History|Fiction
0877735786,LEAVING MY FATHER'S HOUSE,Women--Psychology|Femininity|Archetype (Psychology)
0895656930,Nanny Goat's Boat (Magic Castle Readers Creative Arts),Antiques &amp; Collectibles|Books
0395707374,Music from a Place Called Half Moon,Prejudices|Fiction|Friendship|Indians Of North America|Race Relations|Death|Family Life
0931993288,"Pre-Algebra, Book 1 (Straight Forward Math Series/Book 1)",Education|Teaching Methods & Materials
0696209292,Garden Style (Better Homes and Gardens),Interior Decoration|History|Outdoor Living Spaces|Decoration|Garden Ornaments And Furniture|House Plants In Interior Decoration
068803487X,Man from a Far Country-An Informal Portrait of Pope John Paul II,Religion|Fundamentalism
0684873605,True Story : A Novel,Comedians
0945465653,Paintbrushes and Pistols: How the Taos Artists Sold the West,"Taos school of art|Painting, American|Art, American|In art"
0821773704,Home Again,Literary Collections
0312870590,Changing Woman,Fiction|Mystery & Detective
015201344X,True Heart,Children's Fiction|General
188495619X,"The American Directory of Writer's Guidelines, 3rd Edition: A Compilation of Information for Freelancers from More Than 1,400 Magazine Editors and Book Publishers",News & Magazine Writing|Writing - General & Miscellaneous
8423322912,La Perla del Oriente (ColecciÃ³n Ancora y delfÃ­n),Spanish fiction
0609609874,See No Evil: The True Story of a Ground Soldier in the CIA's War on Terrorism,"Baer, Robert|United States. Central Intelligence Agency|Intelligence officers|Intelligence officers--United States--Biography|Spies|Spies--United States--Biography|Terrorism|Islamic fundamentalism"
0814614248,"Joel, Obadiah, Haggai, Zechariah, Malachi (Collegeville Bible Commentary. Old Testament ; 17)",Commentaries
1565927184,Learning Java (The Java Series),Java (computer Program Language)
0063891271,Economic issues in American history,Economic conditions
000675368X,"The Lion, the Witch and the Wardrobe",Literary Collections
045121238X,The Search for the Green River Killer,Biographies &amp; Autobiographies|General
1400031567,Sidetracked: A Kurt Wallander Mystery (Vintage Crime/Black Lizard),"Wallander, Kurt (Fictitious character)|Wallander, Kurt (Fictitious character)--Fiction|Police|Police--Sweden--Fiction|Authors, Swedish--Translations into English|Serial murders|Serial murders--Sweden--Skêane--Fiction|Serial murder investigation|Serial murder investigation--Sweden--Skêane--Fiction"
1854794086,Wicked Wit of William Shakespeare,Grooming for men--History|Grooming for men--Equipment and supplies--History|Men|Beauty Culture|Clothing
0553570129,"Twin Hearts (Sweet Valley High TV Novelization, No 2)",High Schools
0688067573,The Girl Next Door and How She Grew,Actors|Actors--United States--Biography|Singers|Singers--United States--Biography
843970366X,Zen y El Arte del Mantenimiento de La Motocicleta,Literary Collections
067973452X,Notes from Underground (Vintage Classics),World Literature|Fiction Subjects|Peoples & Cultures - Fiction
1580621147,Net Success: 24 Leaders in Web Commerce Show You How to Put the Web to Work for Your    Business,Medical|Nursing
0312873301,Come Twilight: A Novel of Saint-Germain,Fiction|Horror
0679873023,Is a Camel a Mammal? (Cat in the Hat's Learning Library),Mammals|Juvenile Literature
0393027406,Dream Children,Fiction|Erotica
0709927827,"Youth, Education and Employment: International Perspectives",Vocational education--Economic aspects|Vocational education--Social aspects
0330369180,The Fire Box - Poetry in Britain and Ireland After 1945,English poetry--Irish authors
0917253264,Competing for clients,Commerce|Professional Competence|Professions--Marketing
0874777380,"The Man Who Tasted Shapes: A Bizarre Medical Mystery Offers Revolutionary Insights into Emotions, Reasoning, and Consciousness",Synesthesia|Emotions and cognition
006104122X,Song of the Nightingale,Romance
044661064X,The First Counsel,Fiction|Legal
0140279725,The Life of Insects,Nature|Insects & Spiders
0373099827,"Joyride  (Congratulations!) (Silhouette Special Edition, No 982)",
055357390X,"Season of Reckoning: A Novel of Unionist Resistance in Tennessee and North Carolina, January 1864-February 1866 (Judd, Cameron. Mountain War Trilogy, Bk. 3.)",Fiction
0025429213,Little League Confidential: One Coach's Completely Unauthorized Tale of Survival,Little League Baseball|Humor
030712908X,Toy Story,Children's Fiction|General
031200219X,The accident,Literary Collections
0765306069,The Dark Path,Life on other planets|Life on other planets--Fiction|Space warfare|Space warfare--Fiction
0671016733,Fork in the Road,Fiction|General
0070628572,Paradigm Shift: The New Promise of Information Technology,Information Technology|Industrial Management
0060508663,The September 11 Photo Project,
067166333X,DEAD GIRL : DEAD GIRL,Social Sciences|General
0880015225,How I Gave My Heart to the Restaurant Business: A Novel,Restaurateurs|Restaurateurs--New York (State)--New York--Fiction|Restaurants|Restaurants--New York (State)--New York--Fiction|Food service|Food service--New York (State)--New York--Fiction|Restaurateurs--Fiction|Restaurants--Fiction|Food service--Fiction
0451524802,"Ragged Dick Or, Street Life in New York With the Boot-Blacks",Boys|Shoe Shiners|Poor Children|Street Children
1896160018,ABC Canada: The first Canadian collection of contemporary calligraphy,Calligraphy|History|Calligraphers
0375753397,"Jails, Hospitals, &amp; Hip-Hop: And Some People",Ethnic groups|Ethnic groups--United States--Drama|Performance art|Monologues|Social conditions
081190279X,"When nature speaks: The life of Forrest C. Shaklee, Sr",Literary Collections
006050563X,Once a Scoundrel,Fiction|Romance
082175632X,Mountain Moonlight,Historical Romance
0590482998,"Karen's Mermaid (Baby-Sitters Little Sister, 52)",Mermaids
0590477862,Let Me Tell You How I Died,Literary Collections
0064635929,Barnes and Noble Book of Modern Parliamentary Procedure (EH),Parliamentary Practice
1564140784,Manage Your Time (Ron Fry's How to Study Program),College students--Time management
006272018X,Brush Up Your Shakespeare!,Literary Criticism|Shakespeare
8811685087,Timeline: Ai Confini Del Tempo,Literary Collections
0534039278,Functional harmony,Harmony|Programmed Instruction
0671041177,Immortal: Buffy the Vampire Slayer (Buffy The Vampire Slayer),Science Fiction & Fantasy Media Tie-In Fiction|Teen Fiction - Movies & TV|Teen Fiction - Horror & Suspense
093917345X,Who Moved My Cheese? : Braille Edition (For the Visually Impaired),Literary Collections
158314157X,His 1-800 Wife,Fiction|Romance
086442793X,"Lonely Planet London (Lonely Planet London, 2nd ed)",London - Travel
0880704977,In Search of the Source,Translating|Missionaries|Translators|Folopa (papua New Guinean People)|Missions|Folopa Language
0380755661,Roger Zelazny's Visual Guide to Castle Amber,Literary Criticism - General & Miscellaneous|Science Fiction & Fantasy - Reference|Science Fiction & Fantasy - Literary Criticism
0156028522,Maigret in Holland (Maigret Mystery Series),Fiction|Police
037326173X,Hanged Man,Fiction|Mystery & Detective
0899192238,Harry and the Terrible Whatzit,Children's Fiction|Boys & Men
0060908173,Women in the Wilderness (Harper colophon books ; CN 817),Outdoor recreation for women
0801026075,The Lost Letters of Pergamum: A Story from the New Testament World,Fiction|History Of Biblical Events|Church History|Evangelists (bible)|Christian Saints|Physicians
1880685000,The Theory of Poker,Poker
0345422910,The Straight Dope: A Compendium of Human Knowledge,Questions and answers
0684813610,ROSSINI: COMPACT COMPANIONS : A LISTENER'S GUIDE TO THE CLASSICS (Compact Companions),Composers|Composers--Italy--Biography
0380975661,Fire and Ice,Fiction|Action & Adventure
140003163X,Mendocino and Other Stories,Fiction|American Fiction|World Literature|Fiction Subjects
080706341X,Staying Put : Making a Home in a Restless World,Social Sciences|General
1555973698,Famous Builder,"Childhood and youthLisicky, Paul|Essays|Authors, American|Social life and customs"
0888783124,Strange Attractors,Comics &amp; Graphic Novels|Graphic Novels
842331460X,Tretze biografies imperfectes (ColÂ¨lecciÃ³ El DofÃ­),Biographies &amp; Autobiographies|General
1564585158,Mighty Machines: Tractor,Agricultural Machinery|Juvenile Literature|Farm Tractors|Tractors|Machinery
020140821X,The Prairie Keepers: Secrets of the Grasslands,Nature|Birds|Ecology & Environmental Sciences|Ecology
0375503935,Magic Terror: Seven Tales,"Psychological fiction, American|Horror tales, American"
037319501X,Booties And The Beast (An Older Man) (Silhouette Romance),Fiction|Romance
0811804623,The Secret Language of Symbols: A Visual Key to Symbols and Their Meanings,Symbolism (psychology)|Symbolism|History
1586420232,Fighting Gravity: A Novel,Interfaith marriage|Interfaith marriage--Fiction|Conflict of generations|Conflict of generations--Fiction|Traffic accident victims|Traffic accident victims--Fiction|Married people|Married people--Fiction|Jewish women|Jewish women--Fiction|Novelists|Novelists--Fiction|Catholics|Catholics--Fiction
0786868058,Cold Pursuit,Police|Police--California--San Diego--Fiction|Murder--Investigation|Murder--Investigation--California--San Diego--Fiction|Homicide investigation|Homicide investigation--California--San Diego--Fiction
0679767800,The Stars My Destination,Castaways|Castaways--Fiction|Revenge|Revenge--Fiction|Fictional Works
072141561X,Favourite Tales: The Magic Porridge Pot (Old Favourite Tales),Children's Fiction|General
071671096X,"Humor, Its Origin and Development",Psychology &amp; Psychiatry|Applied Psychology
0345468236,Poorhouse Fair,Older people|Older people--Fiction|Poor|Poor--Fiction|Almshouses|Almshouses--Fiction|Fairs|Fairs--Fiction
0312282583,Leaving Patrick,Married people|Married people--Fiction|Runaway wives|Runaway wives--Fiction
038076735X,Lady Legend,Fiction|Romance
0806920726,Donna Kooler's 555 Christmas Cross-Stitch Designs,Cross-stitch|Patterns|Christmas Decorations
0805034668,Chasing the Sun: Dictionary-Makers and the Dictionaries They Made,Lexicography--History
075961525X,My Life at Aol,Biographies &amp; Autobiographies|Business
0151004749,When I Was a Young Man: A Memoir by Bob Kerrey,Vietnam War - General & Miscellaneous|Midwestern States - Regional Biography|U.S. Armed Forces - General & Miscellaneous - Military Biography|Vietman War - War Narratives
0702220140,The Wild Dogs,Emigration and immigration
082172827X,Relentless Passion (Heartfire),Fiction|General
0553276883,To the Far Blue Mountains : The Sacketts (Sacketts),Westerns|Historical Fiction
055315897X,Born Different: Amazing Stories of Very Special People,Biographies &amp; Autobiographies|General
0131421743,The Young Child : Development from Prebirth Through Age Eight (4th Edition),Psychology &amp; Psychiatry|Developmental
0609600702,The Knife Thrower and Other Stories,"Short stories, American"
1572972076,"Shards of Alderaan (Star Wars: Young Jedi Knights, Book 7)",Fiction|Science Fiction
0811815730,Sorbets and Ice Creams: &amp; Other Frozen Confections,"Ice cream, ices, etc|Frozen desserts"
0679414614,How We Die: Reflections on Life's Final Chapter,Death|Attitude to Death
0781800749,Black California: The History of African-Americans in the Golden State,African Americans--History|African Americans--California--History|History
0394507614,National Audubon Society Field Guide to Trees: Western Region : Western (Audubon Society Field Guide),Trees|Trees--United States--Identification|Trees--Canada--Identification
0802436854,"Winged Raiders of the Desert (Seven Sleepers, 5)",Teen Fiction - Fantasy
0131774298,Expert C Programming,C (Computer program language)
0449211673,Nun in the Closet,Detective Fiction|Cozy Mysteries & Amateur Sleuths|Thrillers|Women Detectives - Fiction|Occupations - Fiction
1555600948,"Lost Destiny (The Blood of Kerensky Saga, Vol 3)",Fiction|Science Fiction
0877545693,Simon Bolivar (World leaders past &amp; present),Heads of state|Heads of state--South America--Biography
0517580055,Ireland: Your Only Place,Description and travel
076519306X,Looking After Your Cat,Pets|Cats
0297607871,Blur,Fiction Subjects
037540340X,The Road to Mars: A Post-Modem Novel,Science Fiction & Fantasy
1564580717,DK Handbooks: Fossils,Nature|Fossils
0525942726,Beguiled,Fiction|Fiction Subjects
0912365579,Chief Seattle (Northwest Mythic Landscape Series),"Suquamish Indians|Suquamish Indians--Biography|Suquamish philosophy|Speeches, addresses, etc., Suquamish"
0395665892,Magid Fasts for Ramadan,Grandmothers|Grandmothers--Juvenile fiction|Old age|Old age--Juvenile fiction|[E]
0060201851,How a Seed Grows (Let's-Read-and-Find-Out Science),Juvenile Nonfiction
157082097X,Winnie the Pooh: The Surprise Party (A Sneak a Peek Book),Children's Fiction|Bedtime & Dreams
0060520736,24 Days: How Two Wall Street Journal Reporters Uncovered the Lies that Destroyed Faith in Corporate America,Enron Corp.|Energy industries--Corrupt practices|Energy industries--Corrupt practices--United States|Business failures|Business failures--United States--Case studies
0375411062,Stuffed: Adventures of a Restaurant Family,"Volk, Patricia|Cooking|Jews--Social life and customs|Jews--New York (State)--New York--Social life and customs"
287714142X,A L'Ombre Des Jeunes Filles En Fleurs (World Classics),Literary Collections
0771591381,"Wind, whales, and whiskey: A Cape Breton voyage",Sailing|Sailing--Nova Scotia--Cape Breton Island|Description and travel
0761819495,Conference of the Books,"Islam--Appreciation|Islam--Essence, genius, nature"
057120810X,King Camp Gillette 1855-1932: Inventor of the Disposable Culture  (Short Lives),Biographies &amp; Autobiographies|General
0517560739,Angelina on Stage,Dance in children's literature|[E]
0679410430,Lolita (Everyman's Library (Cloth)),Middle-aged men|Middle-aged men--Fiction|Girls|Girls--Fiction
088064060X,Felix Mendelssohn: A Life in Letters,Biographies &amp; Autobiographies|General
0821743627,Forever His,Shawnee Indians
0072230819,"How to Do Everything with Your Digital Camera, Third Edition",Computers &amp; the Internet|Hardware
0030576687,World Drama,Drama|Collections
0375726500,Grasshopper: A Novel (Vintage Crime/Black Lizard),Thrillers|Phases of Life - Fiction
0809248492,The Official Dr. Science Big Book of Science (Simplified),American Wit And Humor|Science|Humor
0892965185,Life Itself,Novelists|Novelists--Fiction|Police chiefs|Police chiefs--Mexico--Fiction
0689841523,Moondog (Moondog Trilogy),Teen Fiction - Mysteries & Thrillers|Teen Fiction - Horror & Suspense
0671460897,A Timescape Book: Courtship Rite,Fiction|Science Fiction
082174285X,Eyes of Eagles (Heartfire Romance),Fiction|War & Military
0226472035,Critical Terms for Literary Study,Criticism|Terminology|Literature|English Language|Terms And Phrases|Literary Form
0893756245,Edgar Allan Poe's the Fall of the House of Usher,Horror Stories
1880365669,New Orleans Ghosts,Ghosts|Haunted Houses
0060174986,Love Beyond Life: The Healing Power of After-Death Communications,Body|Mind &amp; Spirit|General
0815604718,The Night Has a Naked Soul: Witchcraft and Sorcery Among the Western Cherokee,Native North American Peoples - Religion|Native North American History - Southeastern Tribes|Shamanism|Religion - Native American|Witchcraft|Wicca & Paganism - Modern|Native North American Peoples - Social Life & Customs|Socio-Cultural Anthropology
078684003X,Haunted Mansion - Enter if You Dare! : Scary Tales from the Haunted Mansion,Literary Collections
0340184035,Nethergate Lofts Hpb,Literary Collections
0942627091,Going to Chicago: A Year on the Chicago Blues Scene,Blues (music)|History And Criticism
067103832X,Happily Ever After (Salem's Tails),Children's Fiction|General
0345342968,Fahrenheit 451,"Science fiction, American|Book burning--Fiction|Censorship--Fiction"
0471858013,Diabetes : The Facts That Let You Regain Control of Your Life,Diabetes|Popular Works|Diabetes Mellitus|Prevention & Control
0892966963,Some Deaths Before Dying,Women photographers|Women photographers--Fiction|Paralytics|Paralytics--Fiction|Older women|Older women--Fiction|Widows|Widows--Fiction
0385316984,Pack of Two: The Intricate Bond Between People and Dogs,"Knapp, Caroline|Dogs--Behavior--Anecdotes|Dogs--Behavior--United States--Anecdotes|Dogs--Training--Anecdotes|Dogs--Training--United States--Anecdotes|Human-animal relationships--Anecdotes|Human-animal relationships--United States--Anecdotes|Dog owners|Dog owners--United States--Anecdotes"
3379015008,Die Sprache des Gastes: Eine Metaethik (Reclam-Bibliothek),Hospitality
0385501684,"Hail, Holy Queen: The Mother of God in the Word of God",Mary
0877797080,Merriam Webster's Collegiate Dictionary,English language|English language--Dictionaries|Dictionaries as Topic
0520011775,The Celestina: A Novel in Dialogue,
0520085841,"The Cult of Information: A Neo-Luddite Treatise on High Tech, Artificial Intelligence, and the True Art of Thinking",Information Technology|Artificial Intelligence
0393047350,Letters to a Fiction Writer,"Fiction--Authorship|Authors, American"
0151975116,"The Wise Virgins: A Story of Words, Opinions and a Few Emotions",Young women|Young women--Fiction
0441009840,"Deceptions (Laws of the Blood, 4)","Vampires|Horror Tales, American"
185326248X,Sybil (Wordsworth Collection),Fiction|Literary
1558177892,The Last Viking Queen,Fiction|Romance
0816738092,Where Did All The Dragons Go - Pbk,Literary Collections
3491711061,Neue Konkordanz zur EinheitsÃ¼bersetzung der Bibel,"Concordances, German"
0312859740,Freedom &amp; Necessity,History|Fiction
0140481532,Contemporary Scenes for Student Actors,Acting|Auditions|Drama
1584850841,"Mystery of the Dark Tower (American Girl History Mysteries, 6)",Parent And Child|African Americans|Harlem Renaissance|Mystery And Detective Stories|History
1928917003,So Many Brilliant Talents: Art &amp; Craft in the Age of Rubens,"Painting, Flemish|Painting, Flemish--Exhibitions|Painting, Dutch|Painting, Dutch--Exhibitions|Painting, Modern|Decorative arts--History"
0391039164,Controlling Human Heredity: 1865 To the Present (Control of Nature),Eugenics--History|Genetic engineering--Social aspects|Human reproductive technology--Social aspects|Eugenics
0886777437,"The Shadow Matrix (Daw Book Collectors, No. 1065)",Darkover (Imaginary place)|Darkover (Imaginary place)--Fiction|Life on other planets--Fiction
0375406182,Plainsong,City And Town Life
1555972489,"Tolstoy's Dictaphone: Technology and the Muse (Graywolf Forum, 1)",Technological innovations--Social aspects
068816515X,I'm Not in the Mood: What Every Woman Should Know About Improving Her Libido,Psychology &amp; Psychiatry|Clinical Psychology
0448095076,The Clue in the Diary (Nancy Drew Mystery Stories Number 7),"Drew, Nancy (Fictitious character)|Drew, Nancy (Fictitious character)--Juvenile fiction|Adventure and adventurers|Adventure and adventurers--Juvenile fiction|Mystery and detective stories|Mystery and detective stories--Fiction|Women detectives|Women detectives--Juvenile fiction"
0521398029,The Racial State : Germany 1933-1945,Minorities--History|Eugenics--history|Euthanasia--history|Minority Groups--history|History|Race relations|Social policy|Social life and customs
887082019X,"Elogio della cravatta: Follie e virtÃ¹, storia e attualitÃ , psicologia e linguaggio del piÃ¹ inutile e piacevole accessorio dell'abbigliamento (Piccoli piaceri)",Literary Collections
014003093X,Twenty-one Stories,Fiction|Literary
155817379X,Georgina,Fiction|General
076450097X,Microsoft Office 97 for Windows (Dummies 101 Series),Microsoft Office
0385239939,Swimming chickens: And other half-breasted accounts of the animal world,Animals|Anecdotes
0399129669,Mindbend,Fiction|General
0684849216,True at First Light : A Fictional Memoir,Big game hunting|Big game hunting--Kenya--Fiction
0345429362,On Her Way: The Shania Twain Story,Country Musicians|Biography
0553155504,"Tug of War (Sweet Valley Twins, No. 14)",Middle School Students|Twins
0553567942,The Pecos River (Rivers West),Frontier And Pioneer Life|Indians Of North America
0843934700,Rapture's Mist,Fiction|Romance
0023242205,Semantics and communication,Communication|Interpersonal relations|English language--Semantics
055310778X,Death of a Political Plant: A Gardening Mystery (Gardening Mysteries (Paperback)),Fiction|General
0306807823,No Direction Home: The Life and Music of Bob Dylan,Singers
140003082X,The Girl from the Golden Horn,Fiction|General
